id,arrival_s,category,handling_s,impact,urgency,tier,waited_h
T0001,11,network,2603,3,4,standard,82.6
T0002,148,account,72,4,1,standard,37
T0003,150,technical,1489,3,4,premium,80
T0004,173,technical,1086,4,4,standard,20
T0005,274,billing,9974,2,4,standard,89
T0006,430,technical,4563,3,4,enterprise,81.1
T0007,595,account,4772,2,1,premium,26.5
T0008,637,billing,85,3,1,standard,28.2
T0009,639,billing,6710,3,3,premium,88.9
T0010,765,general,10246,4,4,standard,35.6
T0011,897,network,4832,4,2,standard,36.8
T0012,1325,hardware,6907,2,3,standard,3.9
T0013,1474,billing,3125,1,3,premium,45.6
T0014,1574,network,810,3,3,standard,19.5
T0015,1917,account,6408,2,4,premium,28.4
T0016,1930,account,1331,4,4,premium,31.1
T0017,1946,technical,12816,1,1,premium,0
T0018,1998,technical,972,4,3,standard,66.5
T0019,2036,technical,995,2,4,standard,38.8
T0020,2044,technical,1531,2,3,premium,14.2
T0021,2775,technical,20281,2,4,standard,33.1
T0022,2896,network,4088,4,2,standard,56.9
T0023,2906,technical,1497,3,2,standard,94.4
T0024,2967,hardware,8646,1,1,standard,66.8
T0025,3201,technical,1343,3,2,premium,33.5
T0026,3214,general,2737,4,3,premium,64.9
T0027,3373,technical,4210,2,2,standard,16.8
T0028,3856,account,1632,2,1,enterprise,53.6
T0029,4113,billing,1765,3,3,premium,82.2
T0030,4176,general,10278,3,1,premium,64.2
T0031,4280,technical,15204,3,1,standard,29.3
T0032,4360,technical,28055,1,4,standard,47.4
T0033,4383,technical,7362,3,3,standard,52.1
T0034,4469,network,1557,2,2,enterprise,46.7
T0035,4752,technical,2327,2,1,premium,83
T0036,4784,account,4583,3,4,standard,95.5
T0037,4860,technical,11609,3,4,enterprise,31.8
T0038,4957,account,21215,1,4,standard,18.3
T0039,4994,account,2518,1,2,premium,89.3
T0040,5003,technical,6006,2,3,standard,28.3
T0041,5050,hardware,793,3,2,standard,28.5
T0042,5115,technical,5106,1,4,standard,60.3
T0043,5141,billing,2730,4,2,premium,2.7
T0044,5245,technical,6020,2,3,standard,94.3
T0045,5464,general,1555,4,2,standard,51.6
T0046,5511,hardware,1711,4,4,standard,80.8
T0047,5537,technical,6493,3,4,standard,93.1
T0048,5688,billing,2748,3,3,premium,24.1
T0049,5712,billing,3019,1,4,standard,87.9
T0050,5782,technical,532,4,1,enterprise,61.3
T0051,5869,network,3089,2,1,standard,54.3
T0052,5890,billing,2259,2,4,standard,29.9
T0053,6357,billing,93,2,2,premium,33.2
T0054,6432,network,266,2,2,premium,25
T0055,6433,general,3754,1,4,premium,59.1
T0056,6779,general,10902,4,4,premium,65
T0057,6881,billing,9002,3,3,premium,78.8
T0058,7008,technical,1729,1,4,standard,3.7
T0059,7123,technical,5758,4,1,premium,32.7
