variant,threshold,tp,fp,fn,tn,precision,recall,f1
title_description,0.1,98,60,2,140,0.6203,0.98,0.7597
title_description,0.15,93,38,7,162,0.7099,0.93,0.8052
title_description,0.2,91,20,9,180,0.8198,0.91,0.8626
title_description,0.25,84,12,16,188,0.875,0.84,0.8571
title_description,0.3,80,6,20,194,0.9302,0.8,0.8602
title_description,0.35,76,3,24,197,0.962,0.76,0.8492
title_description,0.4,69,1,31,199,0.9857,0.69,0.8118
title_description,0.45,66,0,34,200,1,0.66,0.7952
title_description,0.5,64,0,36,200,1,0.64,0.7805
title_description,0.55,62,0,38,200,1,0.62,0.7654
title_description,0.6,61,0,39,200,1,0.61,0.7578
title_description,0.65,61,0,39,200,1,0.61,0.7578
title_description,0.7,61,0,39,200,1,0.61,0.7578
title_description,0.75,60,0,40,200,1,0.6,0.75
title_description,0.8,55,0,45,200,1,0.55,0.7097
title_description,0.85,44,0,56,200,1,0.44,0.6111
title_description,0.9,33,0,67,200,1,0.33,0.4962
title_only,0.1,94,15,6,185,0.8624,0.94,0.8995
title_only,0.15,93,13,7,187,0.8774,0.93,0.9029
title_only,0.2,83,13,17,187,0.8646,0.83,0.8469
title_only,0.25,76,9,24,191,0.8941,0.76,0.8216
title_only,0.3,73,8,27,192,0.9012,0.73,0.8066
title_only,0.35,64,6,36,194,0.9143,0.64,0.7529
title_only,0.4,64,6,36,194,0.9143,0.64,0.7529
title_only,0.45,62,4,38,196,0.9394,0.62,0.747
title_only,0.5,62,4,38,196,0.9394,0.62,0.747
title_only,0.55,56,0,44,200,1,0.56,0.7179
title_only,0.6,56,0,44,200,1,0.56,0.7179
title_only,0.65,56,0,44,200,1,0.56,0.7179
title_only,0.7,46,0,54,200,1,0.46,0.6301
title_only,0.75,46,0,54,200,1,0.46,0.6301
title_only,0.8,39,0,61,200,1,0.39,0.5612
title_only,0.85,38,0,62,200,1,0.38,0.5507
title_only,0.9,38,0,62,200,1,0.38,0.5507
