hours,score,level
0,44.2,P3
1,44.3,P3
2,44.4,P3
3,44.6,P3
4,44.7,P3
5,44.9,P3
6,45,P3
7,45.1,P3
8,45.3,P3
9,45.4,P3
10,45.6,P3
11,45.7,P3
12,45.8,P3
13,46,P3
14,46.1,P3
15,46.3,P3
16,46.4,P3
17,46.5,P3
18,46.7,P3
19,46.8,P3
20,46.9,P3
21,47.1,P3
22,47.2,P3
23,47.4,P3
24,47.5,P3
25,47.6,P3
26,47.8,P3
27,47.9,P3
28,48.1,P3
29,48.2,P3
30,48.3,P3
31,48.5,P3
32,48.6,P3
33,48.8,P3
34,48.9,P3
35,49,P3
36,49.2,P3
37,49.3,P3
38,49.4,P3
39,49.6,P3
40,49.7,P3
41,49.9,P3
42,50,P2
43,50.1,P2
44,50.3,P2
45,50.4,P2
46,50.6,P2
47,50.7,P2
48,50.8,P2
49,51,P2
50,51.1,P2
51,51.3,P2
52,51.4,P2
53,51.5,P2
54,51.7,P2
55,51.8,P2
56,51.9,P2
57,52.1,P2
58,52.2,P2
59,52.4,P2
60,52.5,P2
61,52.6,P2
62,52.8,P2
63,52.9,P2
64,53.1,P2
65,53.2,P2
66,53.3,P2
67,53.5,P2
68,53.6,P2
69,53.8,P2
70,53.9,P2
71,54,P2
72,54.2,P2
73,54.2,P2
74,54.2,P2
75,54.2,P2
76,54.2,P2
77,54.2,P2
78,54.2,P2
79,54.2,P2
80,54.2,P2
81,54.2,P2
82,54.2,P2
83,54.2,P2
84,54.2,P2
85,54.2,P2
86,54.2,P2
87,54.2,P2
88,54.2,P2
89,54.2,P2
90,54.2,P2
91,54.2,P2
92,54.2,P2
93,54.2,P2
94,54.2,P2
95,54.2,P2
96,54.2,P2
